epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,616.884,0.69569,1.43312,1.13587,0.31174,0.51377,0.30914,0.24056,0.68971,1.86464,0.89309,0.0667784,3.32549e-05,3.32549e-05
2,1239.87,0.604,1.14855,1.09118,0.49491,0.65435,0.54625,0.43862,0.62325,1.3129,0.85505,0.033477,6.52698e-05,6.52698e-05
3,1840.1,0.57508,1.06536,1.07821,0.49413,0.7406,0.62376,0.54557,0.4424,1.08277,0.72597,0.000174396,9.59647e-05,9.59647e-05
4,2489.67,0.55807,1.01806,1.07151,0.57804,0.70601,0.65832,0.56111,0.48582,0.98175,0.76088,9.406e-05,9.406e-05,9.406e-05
5,3147.74,inf,0.97808,1.06637,0.5697,0.73123,0.67921,0.60133,0.42004,1.03166,0.71744,9.208e-05,9.208e-05,9.208e-05
6,3834.01,0.53258,0.9469,1.05979,0.56711,0.73812,0.67136,0.59944,0.40602,0.97379,0.70287,9.01e-05,9.01e-05,9.01e-05
7,4481.27,0.52059,0.92484,1.05508,0.59919,0.73399,0.69287,0.6266,0.36987,0.89174,0.67999,8.812e-05,8.812e-05,8.812e-05
8,5273.65,0.51161,0.89909,1.0475,0.6049,0.74883,0.71346,0.64603,0.40984,0.88158,0.69277,8.614e-05,8.614e-05,8.614e-05
9,6041.83,0.50142,0.88146,1.04523,0.61583,0.75068,0.71214,0.63991,0.38168,0.8739,0.69124,8.416e-05,8.416e-05,8.416e-05
10,6776.4,0.49731,0.856,1.04223,0.59929,0.74774,0.70123,0.63772,0.36217,0.96737,0.68536,8.218e-05,8.218e-05,8.218e-05
11,7455.98,0.4899,0.8444,1.03853,0.62746,0.7466,0.71425,0.65228,0.34853,0.86479,0.67538,8.02e-05,8.02e-05,8.02e-05
12,8117.84,0.48493,0.83247,1.03764,0.63634,0.72719,0.71121,0.64732,0.35052,0.85256,0.66596,7.822e-05,7.822e-05,7.822e-05
13,8812.4,0.48131,0.81304,1.03443,0.63164,0.73782,0.70702,0.64521,0.35977,0.91963,0.67312,7.624e-05,7.624e-05,7.624e-05
14,9445.91,0.47608,0.79897,1.03038,0.63178,0.73677,0.72647,0.66783,0.33687,0.8734,0.656,7.426e-05,7.426e-05,7.426e-05
15,10263.6,0.47025,0.78633,1.02816,0.63728,0.76116,0.72959,0.67287,0.32576,0.82939,0.65525,7.228e-05,7.228e-05,7.228e-05
16,11033.9,0.46616,0.7756,1.02713,0.66387,0.73588,0.7322,0.67485,0.32282,0.81184,0.65218,7.03e-05,7.03e-05,7.03e-05
17,11852.7,0.45948,0.76686,1.02273,0.64766,0.76017,0.73225,0.6755,0.32372,0.84816,0.65538,6.832e-05,6.832e-05,6.832e-05
18,12639.7,0.45533,0.75458,1.02438,0.66507,0.73245,0.7336,0.67735,0.32595,0.83863,0.65602,6.634e-05,6.634e-05,6.634e-05
19,13397.9,0.4535,0.74243,1.02183,0.63331,0.75249,0.72407,0.67115,0.31529,0.87429,0.64443,6.436e-05,6.436e-05,6.436e-05
20,14536.2,0.4496,0.72701,1.01908,0.6345,0.78153,0.74275,0.68932,0.3101,0.82244,0.64645,6.238e-05,6.238e-05,6.238e-05
21,15342.6,0.44601,0.72053,1.01766,0.67273,0.7501,0.75054,0.69936,0.30331,0.79283,0.63866,6.04e-05,6.04e-05,6.04e-05
22,16273.8,0.44227,0.70674,1.01395,0.67552,0.72483,0.7447,0.69658,0.29927,0.81814,0.6379,5.842e-05,5.842e-05,5.842e-05
23,17095.1,0.43893,0.70649,1.01426,0.64191,0.76738,0.7399,0.69152,0.30009,0.83025,0.63923,5.644e-05,5.644e-05,5.644e-05
24,17835.7,0.43582,0.68623,1.01148,0.67218,0.74518,0.74549,0.69719,0.29139,0.82148,0.63243,5.446e-05,5.446e-05,5.446e-05
25,18559.6,0.43195,0.68862,1.0108,0.69129,0.72069,0.74186,0.69412,0.29469,0.83752,0.63344,5.248e-05,5.248e-05,5.248e-05
26,19296.7,0.4276,0.67409,1.00959,0.68965,0.72448,0.74449,0.69617,0.2979,0.84812,0.63873,5.05e-05,5.05e-05,5.05e-05
27,20022.4,0.42576,0.66236,1.00712,0.68057,0.72846,0.74436,0.69557,0.29772,0.8483,0.63819,4.852e-05,4.852e-05,4.852e-05
28,20692.1,0.41959,0.64958,1.00474,0.69303,0.71884,0.74459,0.69794,0.29168,0.85322,0.63597,4.654e-05,4.654e-05,4.654e-05
29,21258.1,0.42004,0.64768,1.00456,0.69514,0.72516,0.74449,0.69994,0.288,0.85018,0.63241,4.456e-05,4.456e-05,4.456e-05
30,21813.1,0.41871,0.64535,1.00491,0.70128,0.70722,0.7408,0.69661,0.28729,0.8695,0.63145,4.258e-05,4.258e-05,4.258e-05
31,22443.2,0.41446,0.62746,1.00204,0.6901,0.7213,0.73882,0.69502,0.28613,0.88154,0.63131,4.06e-05,4.06e-05,4.06e-05
